pope_name,wikipedia_article_link,chinese_zodiac_sign,birthdate,deathdate,sainthood_day,papacy_start_date,western_starsign,conservativeness_score_1000
John XII,https://en.wikipedia.org/wiki/Pope_John_XII,,,,,,,
Leo VIII,https://en.wikipedia.org/wiki/Pope_Leo_VIII,,,,,,,
John XII,https://en.wikipedia.org/wiki/Pope_John_XII,,,,,,,
Benedict V,https://en.wikipedia.org/wiki/Pope_Benedict_V,,,,,,,
Leo VIII,https://en.wikipedia.org/wiki/Pope_Leo_VIII,,,,,,,
John XIII,https://en.wikipedia.org/wiki/Pope_John_XIII,,,,,,,
Benedict VI,https://en.wikipedia.org/wiki/Pope_Benedict_VI,,,,,,,
Benedict VII,https://en.wikipedia.org/wiki/Pope_Benedict_VII,,,,,,,
John XIV,https://en.wikipedia.org/wiki/Pope_John_XIV,,,,,,,
John XV,https://en.wikipedia.org/wiki/Pope_John_XV,,,,,,,
Gregory V,https://en.wikipedia.org/wiki/Pope_Gregory_V,,,,,,,
Sylvester II,https://en.wikipedia.org/wiki/Pope_Sylvester_II,,,,,,,
John XVII,https://en.wikipedia.org/wiki/Pope_John_XVII,,,,,,,
John XVIII,https://en.wikipedia.org/wiki/Pope_John_XVIII,,,,,,,
Sergius IV,https://en.wikipedia.org/wiki/Pope_Sergius_IV,,,,,,,
Benedict VIII,https://en.wikipedia.org/wiki/Pope_Benedict_VIII,,,,,,,
John XIX,https://en.wikipedia.org/wiki/Pope_John_XIX,,,,,,,
Benedict IX,https://en.wikipedia.org/wiki/Pope_Benedict_IX,,,,,,,
Sylvester III,https://en.wikipedia.org/wiki/Pope_Sylvester_III,,,,,,,
Benedict IX,https://en.wikipedia.org/wiki/Pope_Benedict_IX,,,,,,,
Gregory VI,https://en.wikipedia.org/wiki/Pope_Gregory_VI,,,,,,,
Clement II,https://en.wikipedia.org/wiki/Pope_Clement_II,,,,,,,
Benedict IX,https://en.wikipedia.org/wiki/Pope_Benedict_IX,,,,,,,
Damasus II,https://en.wikipedia.org/wiki/Pope_Damasus_II,,,,,,,
Leo IX,https://en.wikipedia.org/wiki/Pope_Leo_IX,,,,,,,
Victor II,https://en.wikipedia.org/wiki/Pope_Victor_II,,,,,,,
Stephen IX,https://en.wikipedia.org/wiki/Pope_Stephen_IX,,,,,,,
Nicholas II,https://en.wikipedia.org/wiki/Pope_Nicholas_II,,,,,,,
Alexander II,https://en.wikipedia.org/wiki/Pope_Alexander_II,,,,,,,
Gregory VII,https://en.wikipedia.org/wiki/Pope_Gregory_VII,,,,,,,
Victor III,https://en.wikipedia.org/wiki/Pope_Victor_III,,,,,,,
Urban II,https://en.wikipedia.org/wiki/Pope_Urban_II,,,,,,,
Paschal II,https://en.wikipedia.org/wiki/Pope_Paschal_II,,,,,,,
Gelasius II,https://en.wikipedia.org/wiki/Pope_Gelasius_II,,,,,,,
Callixtus II,https://en.wikipedia.org/wiki/Pope_Callixtus_II,,,,,,,
Honorius II,https://en.wikipedia.org/wiki/Pope_Honorius_II,,,,,,,
Innocent II,https://en.wikipedia.org/wiki/Pope_Innocent_II,,,,,,,
Celestine II,https://en.wikipedia.org/wiki/Pope_Celestine_II,,,,,,,
Lucius II,https://en.wikipedia.org/wiki/Pope_Lucius_II,,,,,,,
Eugene III,https://en.wikipedia.org/wiki/Pope_Eugene_III,,,,,,,
Anastasius IV,https://en.wikipedia.org/wiki/Pope_Anastasius_IV,,,,,,,
Adrian IV,https://en.wikipedia.org/wiki/Pope_Adrian_IV,,,,,,,
Alexander III,https://en.wikipedia.org/wiki/Pope_Alexander_III,,,,,,,
Lucius III,https://en.wikipedia.org/wiki/Pope_Lucius_III,,,,,,,
Urban III,https://en.wikipedia.org/wiki/Pope_Urban_III,,,,,,,
Gregory VIII,https://en.wikipedia.org/wiki/Pope_Gregory_VIII,,,,,,,
Clement III,https://en.wikipedia.org/wiki/Pope_Clement_III,,,,,,,
Celestine III,https://en.wikipedia.org/wiki/Pope_Celestine_III,,,,,,,
Innocent III,https://en.wikipedia.org/wiki/Pope_Innocent_III,,,,,,,
Honorius III,https://en.wikipedia.org/wiki/Pope_Honorius_III,,,,,,,
Gregory IX,https://en.wikipedia.org/wiki/Pope_Gregory_IX,,,,,,,
Celestine IV,https://en.wikipedia.org/wiki/Pope_Celestine_IV,,,,,,,
Innocent IV,https://en.wikipedia.org/wiki/Pope_Innocent_IV,,,,,,,
Alexander IV,https://en.wikipedia.org/wiki/Pope_Alexander_IV,,,,,,,
Urban IV,https://en.wikipedia.org/wiki/Pope_Urban_IV,,,,,,,
Clement IV,https://en.wikipedia.org/wiki/Pope_Clement_IV,,,,,,,
Gregory X,https://en.wikipedia.org/wiki/Pope_Gregory_X,,,,,,,
Innocent V,https://en.wikipedia.org/wiki/Pope_Innocent_V,,,,,,,
Adrian V,https://en.wikipedia.org/wiki/Pope_Adrian_V,,,,,,,
John XXI,https://en.wikipedia.org/wiki/Pope_John_XXI,,,,,,,
Nicholas III,https://en.wikipedia.org/wiki/Pope_Nicholas_III,,,,,,,
Martin IV,https://en.wikipedia.org/wiki/Pope_Martin_IV,,,,,,,
Honorius IV,https://en.wikipedia.org/wiki/Pope_Honorius_IV,,,,,,,
Nicholas IV,https://en.wikipedia.org/wiki/Pope_Nicholas_IV,,,,,,,
Celestine V,https://en.wikipedia.org/wiki/Pope_Celestine_V,,,,,,,
Boniface VIII,https://en.wikipedia.org/wiki/Pope_Boniface_VIII,,,,,,,
Benedict XI,https://en.wikipedia.org/wiki/Pope_Benedict_XI,,,,,,,
Clement V,https://en.wikipedia.org/wiki/Pope_Clement_V,,,,,,,
John XXII,https://en.wikipedia.org/wiki/Pope_John_XXII,,,,,,,
Benedict XII,https://en.wikipedia.org/wiki/Pope_Benedict_XII,,,,,,,
Clement VI,https://en.wikipedia.org/wiki/Pope_Clement_VI,,,,,,,
Innocent VI,https://en.wikipedia.org/wiki/Pope_Innocent_VI,,,,,,,
Urban V,https://en.wikipedia.org/wiki/Pope_Urban_V,,,,,,,
Gregory XI,https://en.wikipedia.org/wiki/Pope_Gregory_XI,,,,,,,
Urban VI,https://en.wikipedia.org/wiki/Pope_Urban_VI,,,,,,,
Boniface IX,https://en.wikipedia.org/wiki/Pope_Boniface_IX,,,,,,,
Innocent VII,https://en.wikipedia.org/wiki/Pope_Innocent_VII,,,,,,,
Gregory XII,https://en.wikipedia.org/wiki/Pope_Gregory_XII,,,,,,,
Martin V,https://en.wikipedia.org/wiki/Pope_Martin_V,,,,,,,
Eugene IV,https://en.wikipedia.org/wiki/Pope_Eugene_IV,,,,,,,
Nicholas V,https://en.wikipedia.org/wiki/Pope_Nicholas_V,,,,,,,
Callixtus III,https://en.wikipedia.org/wiki/Pope_Callixtus_III,,,,,,,
Pius II,https://en.wikipedia.org/wiki/Pope_Pius_II,,,,,,,
Paul II,https://en.wikipedia.org/wiki/Pope_Paul_II,,,,,,,
Sixtus IV,https://en.wikipedia.org/wiki/Pope_Sixtus_IV,,,,,,,
Innocent VIII,https://en.wikipedia.org/wiki/Pope_Innocent_VIII,,,,,,,
Alexander VI,https://en.wikipedia.org/wiki/Pope_Alexander_VI,,,,,,,
Pius III,https://en.wikipedia.org/wiki/Pope_Pius_III,,,,,,,
Julius II,https://en.wikipedia.org/wiki/Pope_Julius_II,,,,,,,
Leo X,https://en.wikipedia.org/wiki/Pope_Leo_X,,,,,,,
Adrian VI,https://en.wikipedia.org/wiki/Pope_Adrian_VI,,,,,,,
Clement VII,https://en.wikipedia.org/wiki/Pope_Clement_VII,,,,,,,
Paul III,https://en.wikipedia.org/wiki/Pope_Paul_III,,,,,,,
Julius III,https://en.wikipedia.org/wiki/Pope_Julius_III,,,,,,,
Marcellus II,https://en.wikipedia.org/wiki/Pope_Marcellus_II,,,,,,,
Paul IV,https://en.wikipedia.org/wiki/Pope_Paul_IV,,,,,,,
Pius IV,https://en.wikipedia.org/wiki/Pope_Pius_IV,,,,,,,
Pius V,https://en.wikipedia.org/wiki/Pope_Pius_V,,,,,,,
Gregory XIII,https://en.wikipedia.org/wiki/Pope_Gregory_XIII,,,,,,,
Sixtus V,https://en.wikipedia.org/wiki/Pope_Sixtus_V,,,,,,,
Urban VII,https://en.wikipedia.org/wiki/Pope_Urban_VII,,,,,,,
Gregory XIV,https://en.wikipedia.org/wiki/Pope_Gregory_XIV,,,,,,,
Innocent IX,https://en.wikipedia.org/wiki/Pope_Innocent_IX,,,,,,,
Clement VIII,https://en.wikipedia.org/wiki/Pope_Clement_VIII,,,,,,,
Leo XI,https://en.wikipedia.org/wiki/Pope_Leo_XI,,,,,,,
Paul V,https://en.wikipedia.org/wiki/Pope_Paul_V,,,,,,,
Gregory XV,https://en.wikipedia.org/wiki/Pope_Gregory_XV,,,,,,,
Urban VIII,https://en.wikipedia.org/wiki/Pope_Urban_VIII,,,,,,,
Innocent X,https://en.wikipedia.org/wiki/Pope_Innocent_X,,,,,,,
Alexander VII,https://en.wikipedia.org/wiki/Pope_Alexander_VII,,,,,,,
Clement IX,https://en.wikipedia.org/wiki/Pope_Clement_IX,,,,,,,
Clement X,https://en.wikipedia.org/wiki/Pope_Clement_X,,,,,,,
Innocent XI,https://en.wikipedia.org/wiki/Pope_Innocent_XI,,,,,,,
Alexander VIII,https://en.wikipedia.org/wiki/Pope_Alexander_VIII,,,,,,,
Innocent XII,https://en.wikipedia.org/wiki/Pope_Innocent_XII,,,,,,,
Clement XI,https://en.wikipedia.org/wiki/Pope_Clement_XI,,,,,,,
Innocent XIII,https://en.wikipedia.org/wiki/Pope_Innocent_XIII,,,,,,,
Clement XII,https://en.wikipedia.org/wiki/Pope_Clement_XII,,,,,,,
Benedict XIV,https://en.wikipedia.org/wiki/Pope_Benedict_XIV,,,,,,,
Clement XIII,https://en.wikipedia.org/wiki/Pope_Clement_XIII,,,,,,,
Clement XIV,https://en.wikipedia.org/wiki/Pope_Clement_XIV,,,,,,,
Pius VI,https://en.wikipedia.org/wiki/Pope_Pius_VI,,,,,,,
Leo XII,https://en.wikipedia.org/wiki/Pope_Leo_XII,,,,,,,
Pius VIII,https://en.wikipedia.org/wiki/Pope_Pius_VIII,,,,,,,
Gregory XVI,https://en.wikipedia.org/wiki/Pope_Gregory_XVI,,,,,,,
Pius IX,https://en.wikipedia.org/wiki/Pope_Pius_IX,,,,,,,
Leo XIII,https://en.wikipedia.org/wiki/Pope_Leo_XIII,,,,,,,
Pius X,https://en.wikipedia.org/wiki/Pope_Pius_X,,,,,,,
Benedict XV,https://en.wikipedia.org/wiki/Pope_Benedict_XV,,,,,,,
Pius XI,https://en.wikipedia.org/wiki/Pope_Pius_XI,,,,,,,
John XXIII,https://en.wikipedia.org/wiki/Pope_John_XXIII,,,,,,,
Paul VI,https://en.wikipedia.org/wiki/Pope_Paul_VI,,,,,,,
John Paul I,https://en.wikipedia.org/wiki/Pope_John_Paul_I,,,,,,,
John Paul II,https://en.wikipedia.org/wiki/Pope_John_Paul_II,,,,,,,
Benedict XVI,https://en.wikipedia.org/wiki/Pope_Benedict_XVI,,,,,,,
Francis,https://en.wikipedia.org/wiki/Pope_Francis,,,,,,,
